Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2023-10-10,2023-10-12,7885,FTB CAFETERIA,Dining,6.95,
2023-10-10,2023-10-12,7885,TOPGOLF ROSEVILLE 028-,Dining,38.16,
2023-10-10,2023-10-11,7885,CONSOLIDATED COMMUNICA,Phone/Cable,75.62,
2023-10-11,2023-10-11,7885,CAPITAL ONE MOBILE PYMT,Payment/Credit,,212.18
2023-10-09,2023-10-11,7885,DEL TACO 1359,Dining,2.14,
2023-10-08,2023-10-10,7885,AUTOZONE #3716,Gas/Automotive,21.54,
2023-10-08,2023-10-09,7885,PANDA EXPRESS #3447,Dining,8.84,
2023-10-08,2023-10-09,7885,NUGGET MARKET #10,Merchandise,8.17,
2023-10-09,2023-10-09,7885,UBER   EATS,Dining,54.63,
2023-10-08,2023-10-09,7885,TST* LEATHERBYS FAMILY,Dining,25.03,
2023-10-07,2023-10-09,7885,STARBUCKS 800-782-7282,Dining,10.90,
2023-10-07,2023-10-09,7885,TST* Slough House Soci,Dining,60.65,
2023-10-06,2023-10-09,7885,NUGGET MARKET #10,Merchandise,10.58,
2023-10-07,2023-10-07,7885,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,,45.28
2023-10-05,2023-10-07,7885,SAFEWAY #2620,Merchandise,11.84,
2023-10-05,2023-10-05,7885,CAPITAL ONE MOBILE PYMT,Payment/Credit,,1382.97
2023-10-03,2023-10-05,7885,TOPGOLF ROSEVILLE 028-,Dining,45.28,
2023-10-03,2023-10-04,7885,KP INTERNATIONAL MARKE,Merchandise,58.69,
2023-10-03,2023-10-04,7885,FTB CAFETERIA,Dining,7.75,
2023-10-01,2023-10-03,7885,TOMATINA ROSEVILLE,Dining,58.17,
2023-10-01,2023-10-02,7885,DAIRY QUEEN #13840,Dining,6.18,
2023-10-02,2023-10-02,7885,UBER   ONE,Other Travel,9.99,
2023-09-30,2023-10-02,7885,TST* Lotus Pho - South,Dining,91.80,
2023-10-01,2023-10-02,7885,COLDSTONE 20439,Dining,29.07,
2023-09-30,2023-10-02,7885,SHELL OIL 57443475405,Gas/Automotive,2.39,
2023-09-29,2023-09-30,7885,99 RANCH #1686,Merchandise,125.51,
2023-09-29,2023-09-30,7885,NUGGET MARKET #10,Merchandise,39.68,
2023-09-28,2023-09-30,7885,CHEAPER CIGARETTE STOR,Merchandise,25.50,
2023-09-29,2023-09-30,7885,WAL-MART #1988,Merchandise,43.35,
2023-09-24,2023-09-27,7885,AUTOZONE #3716,Gas/Automotive,,56.55
2023-09-25,2023-09-26,7885,UBER   *LeZhiBenWei,Dining,4.83,
2023-09-24,2023-09-26,7885,MOON TEA LLC,Dining,8.93,
2023-09-24,2023-09-26,7885,AUTOZONE #3716,Gas/Automotive,9.67,
2023-09-24,2023-09-26,7885,AUTOZONE #3716,Gas/Automotive,87.78,
2023-09-23,2023-09-25,7885,AUTOZONE #3716,Gas/Automotive,185.89,
2023-09-23,2023-09-25,7885,AUTOZONE #3716,Gas/Automotive,39.84,
2023-09-24,2023-09-25,7885,UBER   *ShuangYueShi,Dining,18.14,
2023-09-24,2023-09-25,7885,UBER   *Jing Ding Lou,Dining,16.80,
2023-09-24,2023-09-25,7885,UBER   *QuanLianFuL,Merchandise,6.95,
2023-09-23,2023-09-25,7885,MENDOCINO FARMS #23,Dining,15.44,
2023-09-24,2023-09-25,7885,AMZN Mktp US*T195D9D12,Merchandise,344.71,
2023-09-23,2023-09-25,7885,CHIPOTLE 3437,Dining,18.95,
2023-09-23,2023-09-25,7885,APPLEBEES ROCK14400352,Dining,79.54,
2023-09-23,2023-09-23,7885,CINEMARK THEATRES 1160,Entertainment,44.25,
2023-09-23,2023-09-23,7885,CINEMARK THEATRES 1160,Entertainment,11.20,
2023-09-21,2023-09-22,7885,Amazon Prime*TX5L745B1,Other Services,15.74,
2023-09-19,2023-09-21,7885,TOPGOLF ROSEVILLE 028-,Dining,64.82,
2023-09-19,2023-09-20,7885,KRISPY KREME #9050,Dining,9.16,
2023-09-19,2023-09-20,7885,Subway 29406,Dining,9.99,
2023-09-18,2023-09-19,7885,RAISING CANES 0569,Dining,10.55,
2023-09-17,2023-09-18,7885,CENTURY THEATRES 1012,Entertainment,11.60,
2023-09-17,2023-09-18,7885,CENTURY THEATRES 1012,Entertainment,27.50,
2023-09-15,2023-09-16,7885,SQ *BOBER TEA & COFFEE,Dining,6.90,
2023-09-15,2023-09-16,7885,BEST BUY      00001297,Merchandise,,107.74
2023-09-15,2023-09-15,7885,CAPITAL ONE MOBILE PYMT,Payment/Credit,,2886.76
2023-09-13,2023-09-13,7885,CAPITAL ONE MOBILE PYMT,Payment/Credit,,104.00
2023-09-12,2023-09-12,7885,INTEREST CHARGE:PURCHASES,Fee/Interest Charge,41.77,
2023-09-02,2023-09-12,7885,UBER ONE STMT CRED 7885,Other Travel,,9.99
2023-09-09,2023-09-11,7885,CITYOFSAC_IPS_PKGMETER,Gas/Automotive,6.50,
2023-09-09,2023-09-11,7885,TST* TEASPOON - ROSEVI,Dining,26.29,
2023-09-07,2023-09-07,7885,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,,55.00
2023-09-04,2023-09-07,7885,IHOP #1716,Dining,41.23,
2023-09-05,2023-09-06,7885,TST* THE GROVE COFFEE,Dining,13.75,
2023-09-03,2023-09-05,7885,TASTY POT LLC,Dining,107.65,
2023-09-03,2023-09-05,7885,TST* Grid Bar & Grill,Dining,81.54,
2023-09-01,2023-09-04,7885,SAFEWAY #2620,Merchandise,24.76,
2023-09-02,2023-09-04,7885,CHEVRON 0092139,Gas/Automotive,6.08,
2023-09-02,2023-09-02,7885,UBER   PASS,Other Travel,9.99,
2023-09-01,2023-09-02,7885,BEST BUY      00001297,Merchandise,107.74,
2023-08-31,2023-09-01,7885,WAL-MART #3587,Merchandise,57.43,
2023-08-30,2023-09-01,7885,PHO HOT,Dining,21.24,
2023-08-30,2023-09-01,7885,SAFEWAY #2620,Merchandise,66.34,
2023-08-30,2023-08-31,7885,PEETS #34902,Dining,5.70,
2023-08-29,2023-08-31,7885,TST* Bullta Korean BBQ,Dining,212.10,
2023-08-22,2023-08-22,7885,Amazon Prime*TQ3J15MX0,Other Services,16.30,
2023-08-12,2023-08-12,7885,INTEREST CHARGE:PURCHASES,Fee/Interest Charge,33.06,
2023-08-02,2023-08-12,7885,UBER ONE STMT CRED 7885,Other Travel,,9.99
2023-08-07,2023-08-07,7885,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,,25.00
2023-08-02,2023-08-02,7885,UBER   PASS,Other Travel,9.99,
2023-07-30,2023-08-01,7885,LAWSON,Merchandise,2.62,
2023-07-27,2023-08-01,7885,HAKATAMOTSUNABE IPPACH,Dining,61.65,
2023-07-30,2023-08-01,7885,NISSAN RENTACAR,Car Rental,46.89,
2023-07-29,2023-07-31,7885,PO-RABIJIYUTSUKAN KAFU,Entertainment,11.56,
2023-07-29,2023-07-31,7885,HAKONE YUTOWA,Lodging,143.06,
2023-07-29,2023-07-31,7885,NISSAN RENTACAR,Car Rental,87.42,
2023-07-28,2023-07-31,7885,JR CENTRAL,Other Travel,49.51,
2023-07-25,2023-07-26,7885,PARCHMENT-UNIV DOCS,Internet,11.00,
2023-07-23,2023-07-26,7885,TEAMLAB PLANETS TOKYO,Merchandise,54.38,
2023-07-23,2023-07-26,7885,ONLINETICKETSTORE WEBK,Entertainment,31.48,
2023-07-22,2023-07-24,7885,CONSOLIDATED COMMUNICA,Phone/Cable,78.12,
2023-07-22,2023-07-22,7885,Amazon Prime*W89V35OT3,Other Services,16.30,
2023-07-13,2023-07-14,7885,CHEVRON 0090154,Gas/Automotive,2.79,
2023-07-12,2023-07-13,7885,SQ *TENORI,Dining,5.35,
2023-07-02,2023-07-12,7885,UBER ONE STMT CRED 7885,Other Travel,,9.99
2023-07-10,2023-07-12,7885,TRAVEL + WELL,Merchandise,4.84,
2023-07-10,2023-07-12,7885,IHOP #3547,Dining,17.07,
2023-07-10,2023-07-11,7885,CONSOLIDATED COMMUNICA,Phone/Cable,20.80,
2023-07-11,2023-07-11,7885,AMZN Mktp US*R59ZN1OV3,Merchandise,7.52,
2023-07-09,2023-07-11,7885,CURRY VILLAGE GROCERY,Merchandise,26.88,
2023-07-09,2023-07-11,7885,VONS #2409,Merchandise,44.76,
2023-07-08,2023-07-10,7885,CURRY VILLAGE GROCERY,Merchandise,14.79,
2023-07-08,2023-07-10,7885,76 - SEI 37940,Gas/Automotive,48.20,
2023-07-08,2023-07-10,7885,76 - SEI 37940,Gas/Automotive,17.56,
2023-07-08,2023-07-10,7885,SHELL OIL 10008184003,Gas/Automotive,62.60,
2023-07-08,2023-07-10,7885,VONS #2409,Merchandise,22.97,
2023-07-08,2023-07-10,7885,MCDONALD'S F13464,Dining,20.00,
2023-07-08,2023-07-10,7885,YOSEMITE NP,Other Services,35.00,
2023-07-07,2023-07-10,7885,TACO BELL 17468,Dining,10.74,
2023-07-07,2023-07-08,7885,ASI AQUATIC CENTER,Other,26.25,
2023-07-08,2023-07-08,7885,WEST WIND DRIVE-INS,Entertainment,20.50,
2023-07-06,2023-07-07,7885,PANDA EXPRESS #1894,Dining,8.92,
2023-07-05,2023-07-06,7885,WETZEL'S PRETZELS ROSE,Dining,7.42,
2023-07-05,2023-07-06,7885,PANDA EXPRESS #1719,Dining,9.27,
2023-07-04,2023-07-05,7885,SQ *YFC FIREWORKS,Merchandise,37.70,
2023-07-03,2023-07-05,7885,U-HAUL AT 65TH ST,Car Rental,99.91,
2023-07-03,2023-07-05,7885,ARCO#8382710 G INC QPS,Gas/Automotive,15.52,
2023-07-02,2023-07-04,7885,YD KOREAN RESTAURANT,Dining,51.94,
2023-07-02,2023-07-03,7885,TAI WAN HU HANG KU FEN,Airfare,347.11,
2023-07-03,2023-07-03,7885,CHEVRON 0090812,Gas/Automotive,73.63,
2023-07-02,2023-07-03,7885,UBER   PASS,Other Travel,9.99,
2023-07-01,2023-07-03,7885,TARGET        00024927,Merchandise,8.84,
2023-06-30,2023-07-03,7885,IN N OUT BURGER 276,Dining,13.25,
2023-06-30,2023-07-01,7885,CSUSAC,Other,12.32,
2023-06-29,2023-06-30,7885,SQ *YUME GELATO,Merchandise,12.94,
2023-06-28,2023-06-30,7885,AMK CSU SACST SBUCKS U,Dining,3.95,
2023-06-29,2023-06-29,7885,UBER   EATS,Dining,57.53,
2023-06-27,2023-06-29,7885,TRIPLA,Merchandise,430.97,
2023-06-28,2023-06-29,7885,FOODPAN*cheng hsin o j,Dining,7.45,
2023-06-28,2023-06-28,7885,CAPITAL ONE MOBILE PYMT,Payment/Credit,,509.39
2023-06-26,2023-06-27,7885,AMZN Mktp US*ES9746MR3,Merchandise,26.09,
2023-06-25,2023-06-26,7885,SQ *BLUESTONE MEADOW,Merchandise,30.00,
2023-06-23,2023-06-26,7885,HAPPY LAMB HOT POT,Dining,73.69,
2023-06-24,2023-06-26,7885,SQ *OLD COYOTE,Dining,10.00,
2023-06-25,2023-06-26,7885,SQ *NITTY'S CIDER,Merchandise,14.40,
2023-06-24,2023-06-26,7885,BELLROY OPERATIONS (AM,Merchandise,42.32,
2023-06-23,2023-06-24,7885,99 RANCH #1776,Merchandise,89.42,
2023-06-22,2023-06-23,7885,TARGET        00024927,Merchandise,25.21,
2023-06-22,2023-06-23,7885,TST* RICK'S DESSERT DI,Dining,33.08,
2023-06-22,2023-06-22,7885,CAPITAL ONE MOBILE PYMT,Payment/Credit,,787.83
2023-06-21,2023-06-22,7885,THE STORE@UU #1125,Merchandise,3.30,
2023-06-22,2023-06-22,7885,Amazon Prime*WU3WI6613,Other Services,16.30,
2023-06-20,2023-06-22,7885,OTO S MARKETPLACE,Merchandise,145.58,
2023-06-17,2023-06-19,7885,76 - GAWFCO,Gas/Automotive,47.70,
2023-06-16,2023-06-17,7885,AMK CSU SACST GOOD EAT,Dining,7.69,
2023-06-16,2023-06-17,7885,NUGGET MARKET #10,Merchandise,21.97,
2023-06-15,2023-06-16,7885,AMZN Mktp US*1M1QX83P3,Merchandise,26.09,
2023-06-14,2023-06-15,7885,PUNCH LINE SACRAMENTO,Dining,16.96,
2023-06-13,2023-06-14,7885,THE HORNET BOOKSTORE #,Merchandise,4.12,
2023-06-11,2023-06-13,7885,TST* Estelle Bakery &,Dining,4.50,
2023-06-02,2023-06-12,7885,UBER ONE STMT CRED 7885,Other Travel,,9.99
2023-06-11,2023-06-12,7885,WEB TOWER THEATER,Entertainment,27.98,
2023-06-10,2023-06-12,7885,TOWER CAFE,Dining,81.75,
2023-06-11,2023-06-12,7885,SQ *KURA REVOLVING SUS,Dining,152.52,
2023-06-11,2023-06-12,7885,SQ *SOMISOMI,Merchandise,18.19,
2023-06-10,2023-06-12,7885,CSUSAC,Other,8.21,
2023-06-08,2023-06-12,7885,AFM ROUTE #01,Merchandise,,50.00
2023-06-09,2023-06-10,7885,AMK CSU SACST GOOD EAT,Dining,8.99,
2023-06-09,2023-06-10,7885,TARGET        00024927,Merchandise,3.25,
2023-06-07,2023-06-09,7885,Returned ACH Card Payment,Other,719.04,
2023-06-08,2023-06-09,7885,KP INTERNATIONAL MARKE,Merchandise,48.24,
2023-06-07,2023-06-08,7885,PANDA EXPRESS #1894,Dining,8.48,
2023-06-07,2023-06-08,7885,AMK CSU SACST SBUCKS U,Dining,4.75,
2023-06-07,2023-06-07,7885,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,,719.04
2023-06-06,2023-06-07,7885,AMK CSU SACST GOOD EAT,Dining,9.64,
2023-06-07,2023-06-07,7885,CAPITAL ONE MOBILE PYMT,Payment/Credit,,517.01
2023-06-05,2023-06-07,7885,CHICK-FIL-A #03446,Dining,35.59,
2023-05-03,2023-06-06,7885,UBER ONE STMT CRED 7885,Other Travel,,9.99
2023-06-05,2023-06-06,7885,ASI AQUATIC CENTER,Other,30.00,
2023-06-06,2023-06-06,7885,GOOGLE *Google Photos,Merchandise,13.85,
2023-06-05,2023-06-06,7885,STAPLES       00108878,Merchandise,2.83,
2023-06-05,2023-06-06,7885,76 - GAWFCO,Gas/Automotive,72.48,
2023-06-04,2023-06-05,7885,MCDONALD'S F773,Dining,20.42,
2023-06-04,2023-06-05,7885,UBER   *ChunShuiTang,Dining,0.82,
2023-06-04,2023-06-05,7885,UBER   *ChunShuiTang,Dining,17.96,
2023-06-03,2023-06-05,7885,U-HAULSECURITY PUBLIC,Car Rental,127.62,
2023-06-03,2023-06-05,7885,ARCO#8382710 G INC QPS,Gas/Automotive,37.94,
2023-06-03,2023-06-05,7885,SAFEWAY #2620,Merchandise,58.38,
2023-06-03,2023-06-05,7885,CHEVRON 0208066,Gas/Automotive,85.81,
2023-06-02,2023-06-03,7885,PANDA EXPRESS #1894,Dining,10.11,
2023-06-03,2023-06-03,7885,AWL*PEARSON EDUCATION,Other,79.99,
2023-06-03,2023-06-03,7885,AMZN Mktp US*3X8HD8HZ3,Merchandise,21.74,
2023-06-01,2023-06-02,7885,AMK CSU SACST GOOD EAT,Dining,7.69,
2023-06-01,2023-06-02,7885,AAA SAC UNIV VILLAGE,Insurance,41.75,
2023-06-02,2023-06-02,7885,UBER   PASS,Other Travel,9.99,
2023-06-01,2023-06-02,7885,CSUSAC,Other,12.32,
2023-05-31,2023-06-01,7885,AMK CSU SACST GOOD EAT,Dining,7.69,
2023-05-31,2023-06-01,7885,NUGGET MARKET #10,Merchandise,16.33,
2023-05-31,2023-06-01,7885,CSUSAC,Other,44.14,
2023-05-31,2023-06-01,7885,CSUSAC,Other,8.21,
2023-05-31,2023-05-31,7885,CAPITAL ONE MOBILE PYMT,Payment/Credit,,1258.42
2023-05-29,2023-05-31,7885,STARBUCKS STORE 52259,Dining,5.25,
2023-05-30,2023-05-30,7885,CHEVRON 0308228,Gas/Automotive,30.00,
2023-05-28,2023-05-30,7885,ISSE,Dining,74.88,
2023-05-28,2023-05-29,7885,TMB OIL CO #1,Gas/Automotive,69.92,
2023-05-28,2023-05-29,7885,LEMONADE I* LEMONADE I,Insurance,230.00,
2023-05-27,2023-05-29,7885,7 LEAVES BRISTOL EST 8,Dining,6.27,
2023-05-26,2023-05-27,7885,MEET FRESH WESTMINSTER,Dining,18.49,
2023-05-26,2023-05-27,7885,CHATGPT SUBSCRIPTION,Merchandise,20.00,
2023-05-24,2023-05-26,7885,HAMMER/I-5 INVESTMENTS,Gas/Automotive,32.69,
2023-05-24,2023-05-26,7885,HAMMER/I-5 INVESTMENTS,Gas/Automotive,2.78,
2023-05-23,2023-05-25,7885,HAPPY LAMB HOT POT,Dining,129.58,
2023-05-24,2023-05-25,7885,GOOGLE *Google Photos,Merchandise,4.29,
2023-05-23,2023-05-24,7885,SQ *FALLING PRICES ARD,Merchandise,19.40,
2023-05-22,2023-05-24,7885,U-HAUL AT 65TH ST,Car Rental,68.01,
2023-05-22,2023-05-24,7885,SOUTHWES  5262456988776,Airfare,133.98,
2023-05-22,2023-05-23,7885,PANERA BREAD #202200,Dining,28.30,
2023-05-22,2023-05-23,7885,76 - GAWFCO,Gas/Automotive,9.44,
2023-05-21,2023-05-23,7885,82477 - 555 CAPITOL MA,Gas/Automotive,25.00,
2023-05-21,2023-05-23,7885,TST* Bullta Korean BBQ,Dining,339.56,
2023-05-22,2023-05-22,7885,CAPITAL ONE MOBILE PYMT,Payment/Credit,,969.54
2023-05-22,2023-05-22,7885,Amazon Prime*8L3LB0AQ3,Other Services,8.15,
2023-05-20,2023-05-22,7885,PALLADIO LUXE CINEMA,Entertainment,36.79,
2023-05-20,2023-05-22,7885,PALLADIO LUXE CINEMA,Entertainment,75.77,
2023-05-19,2023-05-20,7885,CHIPOTLE 2158,Dining,31.70,
2023-05-19,2023-05-20,7885,GAMESTOP #3576,Entertainment,76.11,
2023-05-19,2023-05-20,7885,CSUSAC,Other,8.21,
2023-05-18,2023-05-20,7885,ROUND TABLE PIZZA 1280,Dining,17.61,
2023-05-19,2023-05-19,7885,CAPITAL ONE MOBILE PYMT,Payment/Credit,,1000.00
2023-05-17,2023-05-18,7885,ONO-225 (SACRAMENTO# 2,Dining,52.35,
2023-05-16,2023-05-17,7885,ASI STUDENT SHOP,Other,43.23,
2023-05-16,2023-05-17,7885,AMK CSU SACST GRUMPY M,Dining,7.68,
2023-05-16,2023-05-17,7885,PAPA MURPHY'S CA164,Dining,22.48,
2023-05-14,2023-05-17,7885,NEWSPICKS,Merchandise,13.77,
2023-05-15,2023-05-17,7885,STARBUCKS STORE 49303,Dining,5.75,
2023-05-16,2023-05-16,7885,UBER   EATS,Dining,30.87,
2023-05-16,2023-05-16,7885,UBER   EATS,Dining,26.74,
2023-05-12,2023-05-15,7885,BLUE HOUSE KOREAN BBQ,Dining,210.99,
2023-05-14,2023-05-15,7885,ZG * RENTAPPLICATION,Other Services,35.00,
2023-05-14,2023-05-15,7885,SQ *18 GRAMS COFFEE RO,Dining,6.00,
2023-05-13,2023-05-15,7885,MADISON SERVICE OIL,Gas/Automotive,62.63,
2023-05-13,2023-05-15,7885,ARBY'S 5771,Dining,31.76,
2023-05-12,2023-05-13,7885,CSUSAC,Other,12.32,
2023-05-11,2023-05-12,7885,SQ *YUME GELATO,Merchandise,26.08,
